kv,voltage_V,prop,throttle_pct,current_A,power_W,thrust_g,rpm,efficiency_gW,source
KV900,11.1,EOLO 12*6.5,-1,5,55.5,500,4203,9.01,sunnysky_X2814-III
KV900,11.1,EOLO 12*6.5,-1,8.75,97.125,750,5074,7.72,sunnysky_X2814-III
KV900,11.1,EOLO 12*6.5,-1,13.2,146.52,1000,5900,6.83,sunnysky_X2814-III
KV900,11.1,EOLO 12*6.5,-1,18.3,203.13,1250,6500,6.15,sunnysky_X2814-III
KV900,11.1,EOLO 12*6.5,-1,24,266.4,1500,7159,5.63,sunnysky_X2814-III
KV900,11.1,EOLO 12*6.5,-1,31.8,352.98,1820,7776,5.16,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,3.8,56.24,500,4159,8.89,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,6.7,99.16,750,5138,7.56,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,10.2,150.96,1000,5887,6.62,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,13.8,204.24,1250,6640,6.12,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,18.3,270.84,1500,7160,5.54,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,23.2,343.36,1750,7660,5.10,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,28.5,421.8,2000,8203,4.74,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,35,518,2250,8636,4.34,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,42,621.6,2500,9010,4.02,sunnysky_X2814-III
KV900,14.8,EOLO 12*6.5,-1,51.3,759.24,2900,9604,3.82,sunnysky_X2814-III
KV900,11.1,EOLO 13*7,-1,5.1,56.61,500,3644,8.83,sunnysky_X2814-III
KV900,11.1,EOLO 13*7,-1,8.6,95.46,750,4385,7.86,sunnysky_X2814-III
KV900,11.1,EOLO 13*7,-1,12.9,143.19,1000,5070,6.98,sunnysky_X2814-III
